X(ms)	FEx_Ip(kA)   
6.609450E+002	1.501492E+002
6.642703E+002	1.487566E+002
6.675955E+002	1.465635E+002
6.709208E+002	1.474866E+002
6.742460E+002	1.457855E+002
6.775712E+002	1.454093E+002
6.808965E+002	1.446180E+002
6.842217E+002	1.439169E+002
6.875470E+002	1.429961E+002
6.908722E+002	1.423932E+002
6.941974E+002	1.430287E+002
6.975227E+002	1.435848E+002
7.008479E+002	1.442856E+002
7.041732E+002	1.433682E+002
7.074984E+002	1.445427E+002
7.108236E+002	1.450776E+002
7.141489E+002	1.461411E+002
7.174741E+002	1.474822E+002
7.207994E+002	1.478631E+002
7.241246E+002	1.489125E+002
7.274498E+002	1.498412E+002
7.307751E+002	1.510335E+002
7.341003E+002	1.516432E+002
7.374256E+002	1.520856E+002
7.407508E+002	1.525339E+002
7.440760E+002	1.527873E+002
7.474013E+002	1.523167E+002
7.507265E+002	1.518415E+002
7.540518E+002	1.519604E+002
7.573770E+002	1.510427E+002
7.607022E+002	1.508191E+002
7.640275E+002	1.499441E+002
7.673527E+002	1.487213E+002
7.706780E+002	1.475131E+002
7.740032E+002	1.468723E+002
7.773284E+002	1.462433E+002
7.806537E+002	1.466551E+002
7.839789E+002	1.454283E+002
7.873042E+002	1.448729E+002
7.906294E+002	1.453432E+002
7.939546E+002	1.441883E+002
7.972799E+002	1.448967E+002
8.006051E+002	1.444951E+002
8.039304E+002	1.457852E+002
8.072556E+002	1.455493E+002
8.105808E+002	1.464864E+002
8.139061E+002	1.474376E+002
8.172313E+002	1.475898E+002
8.205565E+002	1.480712E+002
8.238818E+002	1.477719E+002
8.272070E+002	1.482122E+002
8.305323E+002	1.488450E+002
8.338575E+002	1.482830E+002
8.371827E+002	1.483885E+002
8.405080E+002	1.480419E+002
8.438332E+002	1.475607E+002
8.471585E+002	1.470811E+002
8.504837E+002	1.478384E+002
8.538089E+002	1.465092E+002
8.571342E+002	1.462563E+002
8.604594E+002	1.470589E+002
8.637847E+002	1.464353E+002
8.671099E+002	1.469697E+002
8.704351E+002	1.473819E+002
8.737604E+002	1.469144E+002
8.770856E+002	1.482048E+002
8.804109E+002	1.486927E+002
8.837361E+002	1.492572E+002
8.870613E+002	1.487903E+002
8.903866E+002	1.497077E+002
8.937118E+002	1.494654E+002
8.970371E+002	1.496944E+002
9.003623E+002	1.490490E+002
9.036875E+002	1.499602E+002
9.070128E+002	1.490885E+002
9.103380E+002	1.493681E+002
9.136633E+002	1.487088E+002
9.169885E+002	1.483845E+002
9.203137E+002	1.479153E+002
9.236390E+002	1.476370E+002
9.269642E+002	1.473454E+002
9.302895E+002	1.467254E+002
9.336147E+002	1.474559E+002
9.369399E+002	1.464500E+002
9.402652E+002	1.624229E+002
9.435904E+002	1.242972E+002
9.469157E+002	1.190850E+002
9.502409E+002	1.157234E+002
9.535661E+002	1.111407E+002
9.568914E+002	1.100722E+002
9.602166E+002	1.081480E+002
9.635419E+002	1.094818E+002
9.668671E+002	1.060630E+002
9.701923E+002	1.119002E+002
9.735176E+002	9.856112E+001
9.768428E+002	9.323126E+001
9.801681E+002	8.979964E+001
9.834933E+002	8.422559E+001
9.868185E+002	8.117188E+001
9.901438E+002	1.122378E+001
9.934690E+002	0.000000E+000
9.967942E+002	0.000000E+000
1.000119E+003	0.000000E+000
