ISHOT = 31885


time = 0.100

I, R(m), Z(m)

 135  1.301  0.145
 136  1.290  0.116
 137  1.287  0.108

time = 0.700

I, R(m), Z(m)

   1  1.293  0.095
   2  1.288  0.073
   3  1.283  0.044
   4  1.282  0.015
   5  1.282 -0.014
   6  1.285 -0.042
   7  1.290 -0.071
   8  1.293 -0.080
   9  1.298 -0.100
  10  1.307 -0.129
  11  1.311 -0.138
  12  1.319 -0.158
  13  1.329 -0.178
  14  1.333 -0.187
  15  1.347 -0.209
  16  1.351 -0.216
  17  1.365 -0.234
  18  1.373 -0.245
  19  1.383 -0.256
  20  1.399 -0.273
  21  1.401 -0.275
  22  1.419 -0.292
  23  1.430 -0.302
  24  1.437 -0.308
  25  1.455 -0.324
  26  1.463 -0.331
  27  1.473 -0.340
  28  1.491 -0.356
  29  1.496 -0.360
  30  1.509 -0.373
  31  1.525 -0.389
  32  1.527 -0.391
  33  1.545 -0.412
  34  1.552 -0.418
  35  1.563 -0.441
  36  1.581 -0.445
  37  1.599 -0.434
  38  1.617 -0.419
  39  1.619 -0.418
  40  1.635 -0.410
  41  1.653 -0.400
  42  1.671 -0.391
  43  1.675 -0.389
  44  1.689 -0.383
  45  1.707 -0.375
  46  1.725 -0.368
  47  1.743 -0.360
  48  1.743 -0.360
  49  1.761 -0.353
  50  1.779 -0.345
  51  1.797 -0.336
  52  1.806 -0.331
  53  1.815 -0.327
  54  1.833 -0.316
  55  1.851 -0.304
  56  1.853 -0.302
  57  1.869 -0.290
  58  1.887 -0.274
  59  1.887 -0.273
  60  1.905 -0.255
  61  1.914 -0.245
  62  1.923 -0.233
  63  1.935 -0.216
  64  1.941 -0.206
  65  1.952 -0.187
  66  1.959 -0.172
  67  1.966 -0.158
  68  1.977 -0.129
  69  1.977 -0.127
  70  1.985 -0.100
  71  1.991 -0.071
  72  1.994 -0.042
  73  1.995 -0.020
  74  1.996 -0.014
  75  1.995 -0.006
  76  1.994  0.015
  77  1.991  0.044
  78  1.985  0.073
  79  1.977  0.101
  80  1.977  0.102
  81  1.966  0.131
  82  1.959  0.146
  83  1.952  0.160
  84  1.941  0.179
  85  1.935  0.189
  86  1.923  0.206
  87  1.914  0.217
  88  1.905  0.229
  89  1.889  0.246
  90  1.887  0.248
  91  1.869  0.265
  92  1.857  0.275
  93  1.851  0.280
  94  1.833  0.293
  95  1.815  0.304
  96  1.815  0.304
  97  1.797  0.315
  98  1.779  0.323
  99  1.761  0.331
 100  1.754  0.333
 101  1.743  0.337
 102  1.725  0.343
 103  1.707  0.347
 104  1.689  0.350
 105  1.671  0.353
 106  1.653  0.354
 107  1.635  0.355
 108  1.617  0.354
 109  1.599  0.353
 110  1.581  0.351
 111  1.563  0.348
 112  1.545  0.344
 113  1.527  0.338
 114  1.511  0.333
 115  1.509  0.332
 116  1.491  0.325
 117  1.473  0.317
 118  1.455  0.307
 119  1.450  0.304
 120  1.437  0.296
 121  1.419  0.284
 122  1.408  0.275
 123  1.401  0.269
 124  1.383  0.253
 125  1.376  0.246
 126  1.365  0.233
 127  1.352  0.217
 128  1.347  0.211
 129  1.332  0.189
 130  1.329  0.183
 131  1.316  0.160
 132  1.311  0.147
 133  1.304  0.131
 134  1.294  0.102
 135  1.293  0.095

time = 0.900

I, R(m), Z(m)

   1  1.283  0.090
   2  1.276  0.064
   3  1.271  0.036
   4  1.268  0.009
   5  1.268 -0.019
   6  1.269 -0.047
   7  1.273 -0.075
   8  1.279 -0.103
   9  1.283 -0.118
  10  1.287 -0.131
  11  1.296 -0.159
  12  1.300 -0.168
  13  1.308 -0.186
  14  1.318 -0.205
  15  1.323 -0.214
  16  1.335 -0.234
  17  1.340 -0.242
  18  1.352 -0.258
  19  1.361 -0.270
  20  1.369 -0.279
  21  1.386 -0.297
  22  1.387 -0.298
  23  1.404 -0.313
  24  1.417 -0.326
  25  1.421 -0.329
  26  1.438 -0.344
  27  1.448 -0.354
  28  1.455 -0.360
  29  1.472 -0.376
  30  1.479 -0.381
  31  1.490 -0.393
  32  1.507 -0.409
  33  1.507 -0.410
  34  1.524 -0.431
  35  1.532 -0.437
  36  1.541 -0.458
  37  1.559 -0.464
  38  1.576 -0.455
  39  1.593 -0.442
  40  1.599 -0.437
  41  1.610 -0.432
  42  1.627 -0.423
  43  1.645 -0.415
  44  1.657 -0.409
  45  1.662 -0.407
  46  1.679 -0.401
  47  1.696 -0.394
  48  1.714 -0.388
  49  1.731 -0.381
  50  1.731 -0.381
  51  1.748 -0.375
  52  1.765 -0.368
  53  1.782 -0.360
  54  1.796 -0.354
  55  1.800 -0.352
  56  1.817 -0.342
  57  1.834 -0.331
  58  1.841 -0.326
  59  1.851 -0.318
  60  1.868 -0.303
  61  1.874 -0.298
  62  1.886 -0.285
  63  1.899 -0.270
  64  1.903 -0.265
  65  1.919 -0.242
  66  1.920 -0.241
  67  1.936 -0.214
  68  1.937 -0.212
  69  1.950 -0.186
  70  1.955 -0.174
  71  1.961 -0.159
  72  1.969 -0.131
  73  1.972 -0.119
  74  1.976 -0.103
  75  1.980 -0.075
  76  1.982 -0.047
  77  1.982 -0.019
  78  1.979  0.009
  79  1.975  0.036
  80  1.972  0.049
  81  1.968  0.064
  82  1.959  0.092
  83  1.955  0.103
  84  1.947  0.120
  85  1.937  0.140
  86  1.933  0.148
  87  1.920  0.169
  88  1.916  0.176
  89  1.903  0.193
  90  1.895  0.204
  91  1.886  0.214
  92  1.869  0.232
  93  1.868  0.232
  94  1.851  0.248
  95  1.838  0.259
  96  1.834  0.262
  97  1.817  0.275
  98  1.800  0.286
  99  1.797  0.287
 100  1.782  0.295
 101  1.765  0.304
 102  1.748  0.311
 103  1.737  0.315
 104  1.731  0.317
 105  1.714  0.323
 106  1.696  0.327
 107  1.679  0.331
 108  1.662  0.333
 109  1.645  0.335
 110  1.627  0.336
 111  1.610  0.336
 112  1.593  0.335
 113  1.576  0.333
 114  1.559  0.330
 115  1.541  0.327
 116  1.524  0.323
 117  1.507  0.317
 118  1.501  0.315
 119  1.490  0.311
 120  1.472  0.304
 121  1.455  0.296
 122  1.440  0.287
 123  1.438  0.286
 124  1.421  0.275
 125  1.404  0.263
 126  1.399  0.259
 127  1.386  0.249
 128  1.369  0.233
 129  1.367  0.232
 130  1.352  0.215
 131  1.342  0.204
 132  1.335  0.194
 133  1.322  0.176
 134  1.318  0.168
 135  1.306  0.148
 136  1.300  0.135
 137  1.294  0.120
 138  1.284  0.092
 139  1.283  0.090
